variant,features,RMSLE_mean,RMSLE_std,RMSLE_oof,RMSE_cal
with engineered features,9,0.05975443872666739,0.00031140171437573115,0.059755250133915125,3.6061023737985995
without engineered features,7,0.05978872353712265,0.0003295256803958364,0.05978963162098028,3.6126373515436203
