,Mutual Information
Duration_x_HR,1.8049518534456164
Duration,1.5174446504582844
Body_Temp,0.9864694544623056
Heart_Rate,0.8723974562656487
Age,0.03158051336130452
Weight,0.01776177628555775
Sex,0.015256261490054879
Height,0.005552594793522658
BMI,0.002857417059893841
